Designator,Footprint,Quantity,Value,LCSC Part #
C1,GRMJN65C1H104JE01D,1,100nF,
C2,0603,1,0.01uF,
D1,D_SOD-123,1,D_Zener,
D3,TO-220-3_Horizontal_TabDown,1,D,
D4,0805,1,LED,
"D5, D6",Nexperia_CFP3_SOD-123W,2,D,
F1,2920,1,Fuse,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
"J10, J2, J3, J4, J5, J6, J7, J8, J9",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,9,Conn_01x01,
M1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Motor_DC,
Q2,SOT-23,1,NMOS,
"Q3, Q6",SOT-23,2,MMBT2222A,
Q4,SOT-23,1,Si2319CDS,
Q5,TO-263-2,1,NMOS,
"R1, R11, R5, R6, R8",0603,5,10K,
"R10, R3, R4, R7, R9",0603,5,1K,
R2,0603,1,4.7K,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555xM,
